,0
Unspecified,2326373
Driver Inattention/Distraction,501604
Failure to Yield Right-of-Way,137720
Following Too Closely,129772
Other Vehicular,98454
Backing Unsafely,83576
Passing or Lane Usage Improper,69088
Fatigued/Drowsy,59265
Turning Improperly,59197
Passing Too Closely,59152
Unsafe Lane Changing,46825
Traffic Control Disregarded,43309
Driver Inexperience,38562
Unsafe Speed,33011
Lost Consciousness,25686
Pavement Slippery,23990
Alcohol Involvement,23711
Reaction to Uninvolved Vehicle,23302
Prescription Medication,18454
View Obstructed/Limited,16533
Outside Car Distraction,15477
Oversized Vehicle,14714
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,11694
Physical Disability,11569
Aggressive Driving/Road Rage,11157
Passenger Distraction,9487
Brakes Defective,7273
Fell Asleep,6130
Obstruction/Debris,4998
Glare,4537
Failure to Keep Right,3989
Other Electronic Device,3010
Steering Failure,2932
Pavement Defective,2636
Tire Failure/Inadequate,2607
Illness,2604
Reaction to Other Uninvolved Vehicle,1716
Illnes,1677
Animals Action,1609
Lane Marking Improper/Inadequate,1521
Traffic Control Device Improper/Non-Working,1354
Driverless/Runaway Vehicle,1330
Accelerator Defective,1150
Drugs (illegal),898
Cell Phone (hand-Held),575
Drugs (Illegal),543
Cell Phone (hands-free),318
Tow Hitch Defective,243
Other Lighting Defects,241
Tinted Windows,203
Headlights Defective,194
Using On Board Navigation Device,163
Vehicle Vandalism,145
Eating or Drinking,130
80,126
Shoulders Defective/Improper,102
Cell Phone (hand-held),101
Windshield Inadequate,85
Texting,53
Listening/Using Headphones,35
1,16
