,0
Sedan,1010947
Station Wagon/Sport Utility Vehicle,806350
PASSENGER VEHICLE,769982
SPORT UTILITY / STATION WAGON,337507
UNKNOWN,105411
Taxi,90127
4 dr sedan,73497
Pick-up Truck,67408
TAXI,60768
Box Truck,52143
VAN,49693
OTHER,45943
Bike,45472
Bus,39956
LARGE COM VEH(6 OR MORE TIRES),28596
SMALL COM VEH(4 TIRES) ,26679
BUS,25950
PICK-UP TRUCK,22939
Tractor Truck Diesel,20424
LIVERY VEHICLE,19426
BICYCLE,19330
Van,17499
Motorcycle,14953
E-Bike,8463
MOTORCYCLE,7901
Dump,7691
Ambulance,6614
Convertible,6381
E-Scooter,5378
Flat Bed,4974
2 dr sedan,4823
PK,4687
Garbage or Refuse,4348
AMBULANCE,3956
Carry All,3921
Moped,3722
Tractor Truck Gasoline,3218
Tow Truck / Wrecker,2635
Chassis Cab,1688
Tanker,1566
FIRE TRUCK,1556
Motorscooter,1548
Motorbike,1170
Concrete Mixer,1038
Refrigerated Van,1006
van,867
Armored Truck,646
Flat Rack,641
AMBUL,635
SCOOTER,614
Beverage Truck,601
3-Door,583
TRUCK,442
LIMO,441
Lift Boom,404
TRAIL,393
UNKNO,391
School Bus,371
MOPED,369
FIRE,350
Stake or Rack,331
UNK,297
E-Sco,290
FDNY,286
E-Bik,245
Multi-Wheeled Vehicle,241
Pedicab,202
Snow Plow,195
DUMP,194
Open Body,186
ambul,170
Bulk Agriculture,163
USPS,157
TRAILER,157
TRACT,151
trail,139
subn,126
Ambul,123
PEDICAB,122
AMBU,121
DELIV,120
unk,120
COM,113
FORKL,113
Minibike,107
ambulance,106
Pickup with mounted Camper,105
truck,104
unkno,103
DELV,100
Pallet,100
COMME,99
SCHOO,97
Truck,95
moped,95
BOX T,93
SCOOT,90
ELECT,89
TOW T,87
FIRET,85
Tow Truck,82
UTILI,80
Fire,79
FIRETRUCK,78
Lunch Wagon,76
fire,75
bus,73
Trailer,73
Van Camper,72
Trail,70
Unknown,70
UTIL,66
TOW TRUCK,63
Scooter,60
BOX TRUCK,58
AMB,56
Fire Truck,56
PAS,56
Motorized Home,55
Hopper,54
Fire truck,53
MOTOR,52
pick,51
FLAT,51
FDNY TRUCK,50
tract,47
dump,47
box t,46
Minicycle,46
RV,45
FDNY AMBUL,44
TRL,44
FDNY FIRE,44
SCHOOL BUS,42
trailer,42
STREE,41
TRK,40
COMMERCIAL,39
POSTA,39
Unk,38
FORKLIFT,38
scoot,37
FREIG,37
fdny,37
Firetruck,36
FORD,35
FORK,35
SANIT,35
unknown,34
schoo,34
GARBAGE TR,34
MACK,34
scooter,34
TRAC,34
REFG,34
GARBA,33
Vanette,32
PICK UP,32
firet,32
Glass Rack,32
ambu,32
usps,31
fire truck,31
POWER,31
TANK,31
MTA B,31
Commercial,30
E-BIK,30
PICKU,30
VAN T,29
tow t,29
com,28
deliv,28
Forklift,28
Livestock Rack,27
Unkno,27
SELF,27
garba,27
MTA BUS,27
elect,27
forkl,26
BACKH,26
USPS TRUCK,26
PSD,26
CONST,26
comme,25
utili,25
US PO,25
FORK LIFT,24
Scoot,24
E-SCOOTER,24
WAGON,23
posta,23
Box truck,22
DUMP TRUCK,22
tow,22
sanit,21
UTILITY,21
box truck,21
SANITATION,21
C1,21
CRANE,21
MOTOR SCOO,21
MAIL,20
fork,20
Well Driller,20
Tow T,20
OMT,20
SEMI,20
PICK UP TR,19
FOOD,19
P/SH,19
PICKUP,19
Elect,19
E-BIKE,19
Schoo,18
ROAD,18
ELECTRIC S,18
STREET SWE,18
BOBCA,18
FLATB,18
UHAUL,18
OMR,18
TRACTOR,18
PC,18
POWER SHOV,17
TRACTOR TR,17
picku,17
SUV,17
SEDAN,17
DELIVERY T,17
Forkl,17
Enclosed Body - Nonremovable Enclosure,17
Log,17
STAK,16
E BIK,16
DIRT BIKE,16
Comme,16
Tract,16
PASS,16
stree,15
motor,15
CARGO,15
SPC,15
YELLO,14
School bus,14
FIRE ENGIN,14
Sanit,14
PICK-,14
GOLF,14
MINI,14
VAN TRUCK,13
ROAD SWEEP,13
OML,13
FDNY Ambul,13
RD/S,13
WHITE,13
Delivery,13
Utili,13
CEMEN,12
CATER,12
Deliv,12
SPRIN,12
semi,12
BULLD,12
Sanitation,12
UNKOW,12
FDNY FIRET,12
Enclosed Body - Removable Enclosure,12
forklift,12
MAIL TRUCK,12
EBIKE,11
COMM,11
tk,11
tow truck,11
HINO,11
mta b,11
GOLF CART,11
HORSE,11
amb,11
Tow,11
delv,11
EMS,11
GAS SCOOTE,11
SPRINTER V,11
Garba,11
wagon,11
Subn,11
CMIX,11
PICKUP TRU,11
firetruck,11
E-scooter,11
self,10
PASSENGER,10
UTILITY TR,10
Box T,10
SEMI-,10
Fork,10
MOPD,10
Sprinter V,10
Pick,10
Pick up tr,10
const,10
SKATEBOARD,9
Dump truck,9
MTA,9
tr,9
US Po,9
mail,9
pas,9
EXCAV,9
Ambu,9
Utility,9
school bus,9
Pick up,9
DELIVERY,9
CO,9
ford,9
TRLR,9
Tow truck,9
JEEP,9
SUBUR,9
util,9
Posta,9
flat,9
US POSTAL,8
UNKN,8
freig,8
taxi,8
Amb,8
OMNIB,8
LIMOU,8
trl,8
Flat,8
FDNY Truck,8
BOX,8
TL,8
VAN/T,8
Pickup,8
commercial,8
Firet,8
Fork lift,8
NYPD,8
Motor,8
USPS MAIL,8
U-HAU,8
UT,8
TANKE,8
tank,8
FDNY LADDE,8
REFRI,8
LIGHT,8
F550,8
E-bike,8
WORK,8
DIRT,8
SUBURBAN,8
crane,8
backh,8
NYC F,8
Pickup tru,8
power,8
p/sh,8
LEFT,7
BACK,7
Stree,7
TRAILOR,7
cemen,7
FDNY truck,7
UTILITY VE,7
USPS Truck,7
GOVER,7
garbage tr,7
INTER,7
NYC SANITA,7
Garbage tr,7
CITY,7
sedan,7
CAT,7
PASSE,7
FDNY Fire,7
SELF INSUR,7
ACCES,7
Tractor,7
SCOM,7
Ford,7
POSTAL TRU,7
FDNY ENGIN,7
box,7
FEDEX,7
Tow t,7
CARGO VAN,7
LIVER,7
AMBULENCE,7
Tractor tr,7
RMP,7
WORK VAN,7
PICK-UP TR,7
Crane,7
