Date,Holiday
11/29/2013,black_friday
11/28/2014,black_friday
11/27/2015,black_friday
11/25/2016,black_friday
11/24/2017,black_friday
11/23/2018,black_friday
11/29/2019,black_friday
11/27/2020,black_friday
11/26/2021,black_friday
11/25/2022,black_friday
12/25/2013,christmas_day
12/25/2014,christmas_day
12/25/2015,christmas_day
12/25/2016,christmas_day
12/25/2017,christmas_day
12/25/2018,christmas_day
12/25/2019,christmas_day
12/25/2020,christmas_day
12/25/2021,christmas_day
12/25/2022,christmas_day
12/24/2013,christmas_eve
12/24/2014,christmas_eve
12/24/2015,christmas_eve
12/24/2016,christmas_eve
12/24/2017,christmas_eve
12/24/2018,christmas_eve
12/24/2019,christmas_eve
12/24/2020,christmas_eve
12/24/2021,christmas_eve
12/24/2022,christmas_eve
5/5/2013,cinco_de_mayo
5/5/2013,cinco_de_mayo
5/5/2014,cinco_de_mayo
5/5/2015,cinco_de_mayo
5/5/2016,cinco_de_mayo
5/5/2017,cinco_de_mayo
5/5/2018,cinco_de_mayo
5/5/2019,cinco_de_mayo
5/5/2020,cinco_de_mayo
5/5/2021,cinco_de_mayo
5/5/2022,cinco_de_mayo
10/14/2013,columbus_day
10/13/2014,columbus_day
10/12/2015,columbus_day
10/10/2016,columbus_day
10/9/2017,columbus_day
10/8/2018,columbus_day
10/14/2019,columbus_day
10/12/2020,columbus_day
10/11/2021,columbus_day
10/10/2022,columbus_day
12/2/2013,cyber_Monday
12/1/2014,cyber_Monday
11/30/2015,cyber_Monday
11/28/2016,cyber_Monday
11/27/2017,cyber_Monday
11/26/2018,cyber_Monday
12/2/2019,cyber_Monday
11/30/2020,cyber_Monday
11/29/2021,cyber_Monday
11/28/2022,cyber_Monday
3/31/2013,easter_sunday
3/30/2014,easter_sunday
4/20/2014,easter_sunday
4/5/2015,easter_sunday
3/27/2016,easter_sunday
4/16/2017,easter_sunday
4/1/2018,easter_sunday
4/21/2019,easter_sunday
4/12/2020,easter_sunday
4/4/2021,easter_sunday
4/17/2022,easter_sunday
7/4/2013,independence_day
7/4/2014,independence_day
7/4/2015,independence_day
7/4/2016,independence_day
7/4/2017,independence_day
7/4/2018,independence_day
7/4/2019,independence_day
7/4/2020,independence_day
7/4/2021,independence_day
7/4/2022,independence_day
3/29/2013,good_friday
3/28/2014,good_friday
4/3/2015,good_friday
3/25/2016,good_friday
4/14/2017,good_friday
3/30/2018,good_friday
4/19/2019,good_friday
4/10/2020,good_friday
4/2/2021,good_friday
4/15/2022,good_friday
10/31/2013,halloween
10/31/2014,halloween
10/31/2015,halloween
10/31/2016,halloween
10/31/2017,halloween
10/31/2018,halloween
10/31/2019,halloween
10/31/2020,halloween
10/31/2021,halloween
10/31/2022,halloween
7/3/2015,independence_day
9/2/2013,labor_day
9/1/2014,labor_day
9/7/2015,labor_day
9/5/2016,labor_day
9/4/2017,labor_day
9/3/2018,labor_day
9/2/2019,labor_day
9/7/2020,labor_day
9/6/2021,labor_day
9/5/2022,labor_day
2/12/2013,mardi_gras
3/4/2014,mardi_gras
2/17/2015,mardi_gras
2/9/2016,mardi_gras
2/28/2017,mardi_gras
2/13/2018,mardi_gras
3/5/2019,mardi_gras
2/25/2020,mardi_gras
2/16/2021,mardi_gras
3/1/2022,mardi_gras
1/21/2013,mlk_day
1/20/2014,mlk_day
1/19/2015,mlk_day
1/18/2016,mlk_day
1/16/2017,mlk_day
1/15/2018,mlk_day
1/21/2019,mlk_day
1/20/2020,mlk_day
1/18/2021,mlk_day
1/17/2022,mlk_day
5/27/2013,memorial_day
5/26/2014,memorial_day
5/25/2015,memorial_day
5/30/2016,memorial_day
5/29/2017,memorial_day
5/28/2018,memorial_day
5/27/2019,memorial_day
5/25/2020,memorial_day
5/31/2021,memorial_day
5/30/2022,memorial_day
1/1/2013,new_year_day
1/1/2014,new_year_day
1/1/2015,new_year_day
1/1/2016,new_year_day
1/1/2017,new_year_day
1/1/2018,new_year_day
1/1/2019,new_year_day
1/1/2020,new_year_day
1/1/2021,new_year_day
1/1/2022,new_year_day
12/31/2013,new_year_eve
12/31/2014,new_year_eve
12/31/2015,new_year_eve
12/31/2016,new_year_eve
12/31/2017,new_year_eve
12/31/2018,new_year_eve
12/31/2019,new_year_eve
12/31/2020,new_year_eve
12/31/2021,new_year_eve
12/31/2022,new_year_eve
2/18/2013,presidents_day
2/17/2014,presidents_day
2/16/2015,presidents_day
2/15/2016,presidents_day
2/20/2017,presidents_day
2/19/2018,presidents_day
2/18/2019,presidents_day
2/17/2020,presidents_day
2/15/2021,presidents_day
2/21/2022,presidents_day
3/17/2013,st_patrick_day
3/17/2013,st_patrick_day
